event,gender,age_group,min_age,max_age,value,points
3 Repetition Deadlift,Male,17-21,17,21,340.0,100
3 Repetition Deadlift,Female,17-21,17,21,210.0,100
3 Repetition Deadlift,Male,22-26,22,26,340.0,100
3 Repetition Deadlift,Female,22-26,22,26,230.0,100
3 Repetition Deadlift,Male,27-31,27,31,340.0,100
3 Repetition Deadlift,Female,27-31,27,31,230.0,100
3 Repetition Deadlift,Male,32-36,32,36,340.0,100
3 Repetition Deadlift,Female,32-36,32,36,230.0,100
3 Repetition Deadlift,Male,37-41,37,41,340.0,100
3 Repetition Deadlift,Female,37-41,37,41,210.0,100
3 Repetition Deadlift,Male,42-46,42,46,340.0,100
3 Repetition Deadlift,Female,42-46,42,46,210.0,100
3 Repetition Deadlift,Male,47-51,47,51,330.0,100
3 Repetition Deadlift,Female,47-51,47,51,190.0,100
3 Repetition Deadlift,Male,52-56,52,56,290.0,100
3 Repetition Deadlift,Female,52-56,52,56,190.0,100
3 Repetition Deadlift,Male,57-61,57,61,250.0,100
3 Repetition Deadlift,Female,57-61,57,61,170.0,100
3 Repetition Deadlift,Male,Over 62,62,100,230.0,100
3 Repetition Deadlift,Female,Over 62,62,100,170.0,100
3 Repetition Deadlift,Male,17-21,17,21,330.0,99
3 Repetition Deadlift,Female,17-21,17,21,210.0,99
3 Repetition Deadlift,Male,22-26,22,26,330.0,99
3 Repetition Deadlift,Female,22-26,22,26,220.0,99
3 Repetition Deadlift,Male,27-31,27,31,330.0,99
3 Repetition Deadlift,Female,27-31,27,31,220.0,99
3 Repetition Deadlift,Male,32-36,32,36,330.0,99
3 Repetition Deadlift,Female,32-36,32,36,220.0,99
3 Repetition Deadlift,Male,37-41,37,41,330.0,99
3 Repetition Deadlift,Female,37-41,37,41,200.0,99
3 Repetition Deadlift,Male,42-46,42,46,330.0,99
3 Repetition Deadlift,Female,42-46,42,46,200.0,99
3 Repetition Deadlift,Male,47-51,47,51,320.0,99
3 Repetition Deadlift,Female,47-51,47,51,180.0,99
3 Repetition Deadlift,Male,52-56,52,56,280.0,99
3 Repetition Deadlift,Female,52-56,52,56,180.0,99
3 Repetition Deadlift,Male,57-61,57,61,240.0,99
3 Repetition Deadlift,Female,57-61,57,61,160.0,99
3 Repetition Deadlift,Male,Over 62,62,100,220.0,99
3 Repetition Deadlift,Female,Over 62,62,100,160.0,99
3 Repetition Deadlift,Male,17-21,17,21,330.0,98
3 Repetition Deadlift,Female,17-21,17,21,200.0,98
3 Repetition Deadlift,Male,22-26,22,26,330.0,98
3 Repetition Deadlift,Female,22-26,22,26,210.0,98
3 Repetition Deadlift,Male,27-31,27,31,330.0,98
3 Repetition Deadlift,Female,27-31,27,31,210.0,98
3 Repetition Deadlift,Male,32-36,32,36,330.0,98
3 Repetition Deadlift,Female,32-36,32,36,210.0,98
3 Repetition Deadlift,Male,37-41,37,41,330.0,98
3 Repetition Deadlift,Female,37-41,37,41,200.0,98
3 Repetition Deadlift,Male,42-46,42,46,330.0,98
3 Repetition Deadlift,Female,42-46,42,46,190.0,98
3 Repetition Deadlift,Male,47-51,47,51,310.0,98
3 Repetition Deadlift,Female,47-51,47,51,180.0,98
3 Repetition Deadlift,Male,52-56,52,56,270.0,98
3 Repetition Deadlift,Female,52-56,52,56,170.0,98
3 Repetition Deadlift,Male,57-61,57,61,230.0,98
3 Repetition Deadlift,Female,57-61,57,61,160.0,98
3 Repetition Deadlift,Male,Over 62,62,100,210.0,98
3 Repetition Deadlift,Female,Over 62,62,100,160.0,98
3 Repetition Deadlift,Male,17-21,17,21,330.0,97
3 Repetition Deadlift,Female,17-21,17,21,190.0,97
3 Repetition Deadlift,Male,22-26,22,26,330.0,97
3 Repetition Deadlift,Female,22-26,22,26,210.0,97
3 Repetition Deadlift,Male,27-31,27,31,330.0,97
3 Repetition Deadlift,Female,27-31,27,31,210.0,97
3 Repetition Deadlift,Male,32-36,32,36,330.0,97
3 Repetition Deadlift,Female,32-36,32,36,210.0,97
